Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA96;<437, 5, 200>;False;-9;59;20;8250
EA97;<437, 5, 200>;False;-10;85;0;8250
EA98;<437, 5, 200>;False;-6;35;15;8250
EA99;<437, 5, 200>;False;-9;56;20;8250
EA0;<437, 5, 200>;False;-27;11;210;8800
EA1;<437, 5, 200>;False;-5;20;20;8250
EA2;<437, 5, 200>;False;-10;85;0;8250
EA3;<437, 5, 200>;False;-10;85;0;8250
EA4;<437, 5, 200>;False;-10;86;0;8250
EA5;<437, 5, 200>;False;-10;85;0;8250
EA6;<437, 5, 200>;False;-4;19;20;8250
EA7;<437, 5, 200>;False;-8;44;20;8250
EA8;<437, 5, 200>;False;-10;85;0;8250
EA9;<437, 5, 200>;False;-7;39;20;8250
EA10;<437, 5, 200>;False;-3;13;15;8250
EA11;<437, 5, 200>;False;-9;54;20;8250
EA12;<437, 5, 200>;False;-10;86;0;8250
EA13;<437, 5, 200>;False;-10;85;0;8250
EA14;<437, 5, 200>;False;-5;22;20;8250
EA15;<437, 5, 200>;False;-4;17;20;8250
EA16;<437, 5, 200>;False;-3;13;15;8250
EA17;<437, 5, 200>;False;-5;26;15;8250
EA18;<437, 5, 200>;False;-10;85;0;8250
EA19;<437, 5, 200>;False;-15;29;95;8250
EA20;<437, 5, 200>;False;-3;15;15;8250
EA21;<437, 5, 200>;False;-10;86;0;8250
EA22;<437, 5, 200>;False;-4;22;15;8250
EA23;<437, 5, 200>;False;-4;17;15;8250
EA24;<437, 5, 200>;False;-8;44;20;8250
EA25;<437, 5, 200>;False;-5;29;15;8250
EA26;<437, 5, 200>;False;-6;37;15;8250
EA27;<437, 5, 200>;False;-10;85;0;8250
EA28;<437, 5, 200>;False;-10;87;0;8250
EA29;<437, 5, 200>;False;-5;29;15;8250
EA30;<437, 5, 200>;False;-5;26;20;8250
EA31;<437, 5, 200>;False;-8;50;20;8250
EA32;<437, 5, 200>;False;-10;85;0;8250
EA33;<437, 5, 200>;False;-3;10;15;8250
EA34;<437, 5, 200>;False;-10;85;0;8250
EA35;<437, 5, 200>;False;-4;18;15;8250
EA36;<437, 5, 200>;False;-5;21;20;8250
EA37;<437, 5, 200>;False;-9;53;20;8250
EA38;<437, 5, 200>;False;-9;54;20;8250
EA39;<437, 5, 200>;False;-8;44;20;8250
EA40;<437, 5, 200>;False;-10;85;0;8250
EA41;<437, 5, 200>;False;-5;24;20;8250
EA42;<437, 5, 200>;False;-10;85;0;8250
EA43;<437, 5, 200>;False;-4;12;20;8250
EA44;<437, 5, 200>;False;-10;85;0;8250
EA45;<437, 5, 200>;False;-10;86;0;8250
EA46;<437, 5, 200>;False;-3;11;15;8250
EA47;<437, 5, 200>;False;-10;85;0;8250
EA48;<437, 5, 200>;False;-8;48;20;8250
EA49;<437, 5, 200>;False;-3;15;15;8250
EA50;<437, 5, 200>;False;-14;28;85;8250
EA51;<437, 5, 200>;False;-10;85;0;8250
EA52;<437, 5, 200>;True;414;28;395;9709
EA53;<437, 5, 200>;False;-4;16;20;8250
EA54;<437, 5, 200>;False;-9;8;70;8250
EA55;<437, 5, 200>;False;-5;28;15;8250
EA56;<437, 5, 200>;False;-13;12;95;8250
EA57;<437, 5, 200>;False;-10;85;0;8250
EA58;<437, 5, 200>;False;-4;17;20;8250
EA59;<437, 5, 200>;False;-3;13;15;8250
EA60;<437, 5, 200>;False;-10;86;0;8250
EA61;<437, 5, 200>;True;504;43;470;9709
EA62;<437, 5, 200>;False;-13;21;90;8250
