Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
EA25;<3468, 5, 958>;False;1;651;0;0;1;50;767;53;2324;22;42;2415;28;2761;57;64;409;77;1651;49;19;70;86;57;1570
EA5;<3468, 5, 958>;False;1;808;0;0;1;50;3093;83;2132;81;63;3509;48;2804;72;46;2218;81;838;62;53;24;56;16;2292
EA10;<3468, 5, 958>;False;1;778;0;0;1;50;3804;11;1664;59;12;210;59;2480;37;65;202;22;2695;66;46;86;93;94;264
EA188;<3468, 5, 958>;False;1;625;0;0;1;50;879;11;3189;45;77;3956;48;114;84;22;1972;40;475;41;81;56;97;54;927
EA182;<3468, 5, 958>;False;1;679;0;0;1;50;3937;98;1379;62;98;696;98;3198;34;7;986;71;531;15;72;59;15;97;1795
EA178;<3468, 5, 958>;False;1;699;0;0;1;50;443;43;3663;62;34;3119;93;3374;48;24;2495;51;2512;11;9;5;8;57;3860
EA177;<3468, 5, 958>;False;1;660;0;0;1;50;1255;34;2537;66;38;3717;28;995;61;19;950;45;3887;17;27;8;42;39;2985
EA168;<3468, 5, 958>;False;1;800;0;0;1;50;1858;70;2812;9;28;2892;87;949;81;48;3387;78;3937;54;99;40;50;44;3066
EA144;<3468, 5, 958>;False;1;776;0;0;1;50;760;36;108;72;14;3277;12;1217;65;72;2050;15;3126;25;51;7;49;88;1634
EA138;<3468, 5, 958>;False;1;785;0;0;1;50;3868;28;1900;58;36;1277;66;1944;99;44;1620;73;3561;74;15;18;33;76;3404
EA134;<3468, 5, 958>;False;1;772;0;0;1;50;3480;10;185;17;71;585;55;1165;49;9;404;19;1856;81;11;40;4;1;987
EA131;<3468, 5, 958>;False;1;631;0;0;1;50;2121;63;3743;84;82;892;51;3995;65;61;2786;65;2862;85;51;7;15;46;3816
EA122;<3468, 5, 958>;False;1;659;0;0;1;50;2101;47;1133;49;18;3949;32;1034;25;16;1504;5;2184;36;23;13;82;89;1340
EA89;<3468, 5, 958>;False;1;770;0;0;1;50;1336;85;1625;57;33;3875;64;2711;26;53;3170;60;147;28;8;87;74;78;1095
EA91;<3468, 5, 958>;False;1;668;0;0;1;50;1134;36;1167;69;28;3017;71;544;76;65;2626;22;3998;96;51;44;9;37;789
EA84;<3468, 5, 958>;False;1;670;0;0;1;50;3469;80;3665;98;75;1114;46;2429;34;75;3995;16;3639;96;23;7;33;24;2896
EA76;<3468, 5, 958>;False;1;639;0;0;1;50;331;34;3978;88;35;593;5;2841;6;15;3975;91;3633;90;74;67;22;3;1661
EA17;<3468, 5, 958>;False;1;693;0;0;1;50;3707;89;745;38;77;139;67;342;61;95;3343;42;3267;71;11;80;60;71;857
EA20;<3468, 5, 958>;False;1;688;0;0;1;50;2221;95;1080;95;16;2723;15;2884;11;80;2189;63;736;46;8;98;72;28;2519
